54,Juan Espino VS Justin Frazier,Juan Espino,Justin Frazier,-175,155,11/30/2018 0:00,"Las Vegas, Nevada, USA", USA,Juan Espino,Heavyweight,MALE,38,29,SUB
55,Pannie Kianzad VS Macy Chiasson,Pannie Kianzad,Macy Chiasson,-115,-105,11/30/2018 0:00,"Las Vegas, Nevada, USA", USA,Macy Chiasson,Women's Featherweight,FEMALE,26,27,SUB
56,Daniel Cormier VS Derrick Lewis,Daniel Cormier,Derrick Lewis,-380,315,11/3/2018 0:00,"New York City, New York, USA", USA,Daniel Cormier,Heavyweight,MALE,39,33,SUB
57,Khabib Nurmagomedov VS Conor McGregor,Khabib Nurmagomedov,Conor McGregor,-190,165,10/6/2018 0:00,"Las Vegas, Nevada, USA", USA,Khabib Nurmagomedov,Lightweight,MALE,30,30,SUB
58,Tyron Woodley VS Darren Till,Tyron Woodley,Darren Till,-105,-115,9/8/2018 0:00,"Dallas, Texas, USA", USA,Tyron Woodley,Welterweight,MALE,36,25,SUB
59,TJ Dillashaw VS Cody Garbrandt,TJ Dillashaw,Cody Garbrandt,-125,105,8/4/2018 0:00,"Los Angeles, California, USA", USA,TJ Dillashaw,Bantamweight,MALE,32,27,KO/TKO
60,Demetrious Johnson VS Henry Cejudo,Demetrious Johnson,Henry Cejudo,-470,375,8/4/2018 0:00,"Los Angeles, California, USA", USA,Henry Cejudo,Flyweight,MALE,31,31,S-DEC
61,Stipe Miocic VS Daniel Cormier,Stipe Miocic,Daniel Cormier,-160,140,7/7/2018 0:00,"Las Vegas, Nevada, USA", USA,Daniel Cormier,Heavyweight,MALE,35,39,KO/TKO
62,Michael Trizano VS Joe Giannetti,Michael Trizano,Joe Giannetti,130,-150,7/6/2018 0:00,"Las Vegas, Nevada, USA", USA,Michael Trizano,Lightweight,MALE,26,23,S-DEC
63,Jay Cucciniello VS Brad Katona,Jay Cucciniello,Brad Katona,220,-260,7/6/2018 0:00,"Las Vegas, Nevada, USA", USA,Brad Katona,Featherweight,MALE,31,26,U-DEC
64,Rafael Dos Anjos VS Colby Covington,Rafael Dos Anjos,Colby Covington,115,-135,6/9/2018 0:00,"Chicago, Illinois, USA", USA,Colby Covington,Welterweight,MALE,33,30,U-DEC
65,Amanda Nunes VS Raquel Pennington,Amanda Nunes,Raquel Pennington,-700,500,5/12/2018 0:00,"Rio de Janeiro, Rio de Janeiro, Brazil", Brazil,Amanda Nunes,Women's Bantamweight,FEMALE,29,29,KO/TKO
66,Khabib Nurmagomedov VS Al Iaquinta,Khabib Nurmagomedov,Al Iaquinta,-640,470,4/7/2018 0:00,"Brooklyn, New York, USA", USA,Khabib Nurmagomedov,Lightweight,MALE,29,30,U-DEC
67,Rose Namajunas VS Joanna Jedrzejczyk,Rose Namajunas,Joanna Jedrzejczyk,-110,-110,4/7/2018 0:00,"Brooklyn, New York, USA", USA,Rose Namajunas,Women's Strawweight,FEMALE,25,30,U-DEC
68,Cris Cyborg VS Yana Kunitskaya,Cris Cyborg,Yana Kunitskaya,-1000,650,3/3/2018 0:00,"Las Vegas, Nevada, USA", USA,Cris Cyborg,Women's Featherweight,FEMALE,32,28,
69,Yoel Romero VS Luke Rockhold,Yoel Romero,Luke Rockhold,160,-185,2/10/2018 0:00,"Perth, Western Australia, Australia", Australia,Yoel Romero,Middleweight,MALE,40,33,KO/TKO
70,Stipe Miocic VS Francis Ngannou,Stipe Miocic,Francis Ngannou,150,-170,1/20/2018 0:00,"Boston, Massachusetts, USA", USA,Stipe Miocic,Heavyweight,MALE,35,31,U-DEC
71,Daniel Cormier VS Volkan Oezdemir,Daniel Cormier,Volkan Oezdemir,-345,285,1/20/2018 0:00,"Boston, Massachusetts, USA", USA,Daniel Cormier,Light Heavyweight,MALE,38,28,KO/TKO
72,Cris Cyborg VS Holly Holm,Cris Cyborg,Holly Holm,-325,265,12/30/2017 0:00,"Las Vegas, Nevada, USA", USA,Cris Cyborg,Women's Featherweight,FEMALE,32,36,
73,Max Holloway VS Jose Aldo,Max Holloway,Jose Aldo,-260,220,12/2/2017 0:00,"Detroit, Michigan, USA", USA,Max Holloway,Featherweight,MALE,25,31,KO/TKO
74,Nicco Montano VS Roxanne Modafferi,Nicco Montano,Roxanne Modafferi,-210,175,12/1/2017 0:00,"Las Vegas, Nevada, USA", USA,Nicco Montano,Women's Flyweight,FEMALE,28,35,U-DEC
75,Michael Bisping VS Georges St-Pierre,Michael Bisping,Georges St-Pierre,-120,100,11/4/2017 0:00,"New York City, New York, USA", USA,Georges St-Pierre,Middleweight,MALE,38,36,SUB
76,Cody Garbrandt VS TJ Dillashaw,Cody Garbrandt,TJ Dillashaw,-210,175,11/4/2017 0:00,"New York City, New York, USA", USA,TJ Dillashaw,Bantamweight,MALE,26,31,KO/TKO
77,Joanna Jedrzejczyk VS Rose Namajunas,Joanna Jedrzejczyk,Rose Namajunas,-700,500,11/4/2017 0:00,"New York City, New York, USA", USA,Rose Namajunas,Women's Strawweight,FEMALE,30,25,KO/TKO
78,Tony Ferguson VS Kevin Lee,Tony Ferguson,Kevin Lee,-290,245,10/7/2017 0:00,"Las Vegas, Nevada, USA", USA,Tony Ferguson,Lightweight,MALE,33,25,SUB
79,Demetrious Johnson VS Ray Borg,Demetrious Johnson,Ray Borg,-1000,650,10/7/2017 0:00,"Las Vegas, Nevada, USA", USA,Demetrious Johnson,Flyweight,MALE,31,24,SUB
80,Amanda Nunes VS Valentina Shevchenko,Amanda Nunes,Valentina Shevchenko,125,-145,9/9/2017 0:00,"Edmonton, Alberta, Canada", Canada,Amanda Nunes,Women's Bantamweight,FEMALE,29,29,S-DEC
81,Tyron Woodley VS Demian Maia,Tyron Woodley,Demian Maia,-220,180,7/29/2017 0:00,"Anaheim, California, USA", USA,Tyron Woodley,Welterweight,MALE,35,39,U-DEC
82,Cris Cyborg VS Tonya Evinger,Cris Cyborg,Tonya Evinger,-1250,800,7/29/2017 0:00,"Anaheim, California, USA", USA,Cris Cyborg,Women's Featherweight,FEMALE,32,36,
83,Yoel Romero VS Robert Whittaker,Yoel Romero,Robert Whittaker,110,-130,7/8/2017 0:00,"Las Vegas, Nevada, USA", USA,Robert Whittaker,Middleweight,MALE,40,26,U-DEC
